date,team1,team2,winner,Year,Team,MatchPlayed,MatchWon,Matchlost,,
4/23/2011,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,,,,,,,
4/24/2011,Deccan Chargers,Mumbai Indians,Mumbai Indians,,,,,,,
4/24/2011,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,,,,,,,
4/25/2011,Chennai Super Kings,Pune Warriors,Chennai Super Kings,,,,,,,
4/26/2011,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,,,,,,,
4/27/2011,Pune Warriors,Chennai Super Kings,Chennai Super Kings,,,,,,,
4/27/2011,Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers,,,,,,,
4/28/2011,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,,,,,,,
4/29/2011,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,,,,,,,
4/29/2011,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,,,,,,,
4/30/2011,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,,,,,,,
4/30/2011,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,,,,,,,
5/1/2011,Rajasthan Royals,Pune Warriors,Rajasthan Royals,,,,,,,
5/1/2011,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,,,,,,,
5/2/2011,Mumbai Indians,Kings XI Punjab,Mumbai Indians,,,,,,,
5/2/2011,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,,,,,,,
5/3/2011,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,,,,,,,
5/4/2011,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,,,,,,,
5/4/2011,Pune Warriors,Mumbai Indians,Mumbai Indians,,,,,,,
5/5/2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,,,,,,,
5/5/2011,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,,,,,,,
5/6/2011,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,,,,,,,
5/7/2011,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,,,,,,,
5/7/2011,Mumbai Indians,Delhi Daredevils,Mumbai Indians,,,,,,,
5/8/2011,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,,,,,,,
5/8/2011,Kings XI Punjab,Pune Warriors,Pune Warriors,,,,,,,
5/9/2011,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,,,,,,,
5/10/2011,Deccan Chargers,Pune Warriors,Pune Warriors,,,,,,,
5/10/2011,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,,,,,,,
5/11/2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,,,,,,,
5/12/2011,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,,,,,,,
5/13/2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,,,,,,,
5/14/2011,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,,,,,,,
5/14/2011,Mumbai Indians,Deccan Chargers,Deccan Chargers,,,,,,,
5/15/2011,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,,,,,,,
5/15/2011,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,,,,,,,
5/16/2011,Pune Warriors,Deccan Chargers,Deccan Chargers,,,,,,,
5/17/2011,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,,,,,,,
5/18/2011,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,,,,,,,
5/19/2011,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,,,,,,,
5/20/2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,,,,,,,
5/21/2011,Kings XI Punjab,Deccan Chargers,Deccan Chargers,,,,,,,
5/21/2011,Delhi Daredevils,Pune Warriors,NA,,,,,,,
5/22/2011,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,,,,,,,
5/22/2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,,,,,,,
5/24/2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,,,,,,,
5/25/2011,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,,,,,,,
5/27/2011,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,,,,,,,
5/28/2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,,,,,,,
4/4/2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,,,,,,,
4/5/2012,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,,,,,,,
4/6/2012,Mumbai Indians,Pune Warriors,Pune Warriors,,,,,,,
